,City,destination,km distance,label,num reviews,rating
314,"Albia, IA"," Indianola, IA ",73.78881304801855,dental,1,5.0
315,"Albia, IA"," Ottumwa, IA ",34.11584879555253,dental,3,2.5
316,"Albia, IA"," Ottumwa, IA ",34.018684167968146,dental,1,1.0
317,"Albia, IA"," Carlisle, IA ",77.44387376825482,dental,1,2.0
318,"Albia, IA"," Indianola, IA ",74.3124819042167,dental,1,4.0
319,"Albia, IA"," Pleasant Hill, IA ",87.91916634495834,dental,5,5.0
320,"Albia, IA"," Pleasant Hill, IA ",88.05621879576724,dental,2,5.0
321,"Albia, IA"," Pleasant Hill, IA ",87.46537984390999,dental,2,5.0
322,"Albia, IA"," Des Moines, IA ",87.51419162077075,dental,6,3.0
323,"Albia, IA"," Des Moines, IA ",86.90007047222154,dental,2,2.0
324,"Albia, IA"," Pleasant Hill, IA ",87.7810370062368,dental,1,4.0
325,"Albia, IA"," Altoona, IA ",89.91906097846281,dental,5,3.5
326,"Albia, IA"," Des Moines, IA ",91.69932606667095,dental,3,5.0
327,"Albia, IA"," Des Moines, IA ",91.66074966329424,dental,1,5.0
328,"Albia, IA"," Des Moines, IA ",89.37546850235573,dental,1,4.0
329,"Albia, IA"," Des Moines,, IA ",92.59207408928646,dental,1,5.0
330,"Albia, IA"," Des Moines, IA ",92.33452393247673,dental,1,5.0
331,"Albia, IA"," Des Moines, IA ",92.3647207751774,dental,3,1.0
332,"Albia, IA"," Pella, IA ",43.72604093000748,convenience stores,1,5.0
333,"Albia, IA"," Humeston, IA ",61.350449326199104,convenience stores,1,5.0
334,"Albia, IA"," Ottumwa, IA ",31.19078298963787,convenience stores,1,3.0
335,"Albia, IA"," New Sharon, IA ",50.9185548495845,convenience stores,1,5.0
336,"Albia, IA"," Agency, IA ",47.47705268054862,convenience stores,1,5.0
337,"Albia, IA"," Pella, IA ",41.81396999940545,convenience stores,1,3.0
338,"Albia, IA"," Pleasant Hill, IA ",86.69790436136913,convenience stores,2,5.0
339,"Albia, IA"," Des Moines, IA ",86.87514298150782,convenience stores,6,3.0
340,"Albia, IA"," Des Moines, IA ",87.60136372309799,convenience stores,2,2.0
